id_model,id_fB_papillary,id_fb_upper_blood,id_fb_reticular,id_fb_deep_blood,id_mel,id_light
0,0.011,0.02,0.0075,0.01,0.01,19
0,0.011,0.02,0.0075,0.01,0.05,19
0,0.011,0.02,0.0075,0.01,0.1,19
0,0.011,0.02,0.0075,0.01,0.15,19
0,0.011,0.02,0.0075,0.01,0.2,19
0,0.011,0.02,0.0075,0.01,0.25,19
0,0.011,0.02,0.0075,0.01,0.3,19
0,0.011,0.02,0.0075,0.01,0.35,19
0,0.011,0.02,0.0075,0.01,0.4,19
0,0.011,0.02,0.0075,0.01,0.45,19
0,0.011,0.02,0.0075,0.01,0.5,19
0,0.011,0.02,0.0075,0.02,0.01,19
0,0.011,0.02,0.0075,0.02,0.05,19
0,0.011,0.02,0.0075,0.02,0.1,19
0,0.011,0.02,0.0075,0.02,0.15,19
0,0.011,0.02,0.0075,0.02,0.2,19
0,0.011,0.02,0.0075,0.02,0.25,19
0,0.011,0.02,0.0075,0.02,0.3,19
0,0.011,0.02,0.0075,0.02,0.35,19
0,0.011,0.02,0.0075,0.02,0.4,19
0,0.011,0.02,0.0075,0.02,0.45,19
0,0.011,0.02,0.0075,0.02,0.5,19
0,0.011,0.02,0.01,0.01,0.01,19
0,0.011,0.02,0.01,0.01,0.05,19
0,0.011,0.02,0.01,0.01,0.1,19
0,0.011,0.02,0.01,0.01,0.15,19
0,0.011,0.02,0.01,0.01,0.2,19
0,0.011,0.02,0.01,0.01,0.25,19
0,0.011,0.02,0.01,0.01,0.3,19
0,0.011,0.02,0.01,0.01,0.35,19
0,0.011,0.02,0.01,0.01,0.4,19
0,0.011,0.02,0.01,0.01,0.45,19
0,0.011,0.02,0.01,0.01,0.5,19
0,0.011,0.02,0.01,0.02,0.01,19
0,0.011,0.02,0.01,0.02,0.05,19
0,0.011,0.02,0.01,0.02,0.1,19
0,0.011,0.02,0.01,0.02,0.15,19
0,0.011,0.02,0.01,0.02,0.2,19
0,0.011,0.02,0.01,0.02,0.25,19
0,0.011,0.02,0.01,0.02,0.3,19
0,0.011,0.02,0.01,0.02,0.35,19
0,0.011,0.02,0.01,0.02,0.4,19
0,0.011,0.02,0.01,0.02,0.45,19
0,0.011,0.02,0.01,0.02,0.5,19
0,0.011,0.02,0.012,0.01,0.01,19
0,0.011,0.02,0.012,0.01,0.05,19
0,0.011,0.02,0.012,0.01,0.1,19
0,0.011,0.02,0.012,0.01,0.15,19
0,0.011,0.02,0.012,0.01,0.2,19
0,0.011,0.02,0.012,0.01,0.25,19
0,0.011,0.02,0.012,0.01,0.3,19
0,0.011,0.02,0.012,0.01,0.35,19
0,0.011,0.02,0.012,0.01,0.4,19
0,0.011,0.02,0.012,0.01,0.45,19
0,0.011,0.02,0.012,0.01,0.5,19
0,0.011,0.02,0.012,0.02,0.01,19
0,0.011,0.02,0.012,0.02,0.05,19
0,0.011,0.02,0.012,0.02,0.1,19
0,0.011,0.02,0.012,0.02,0.15,19
0,0.011,0.02,0.012,0.02,0.2,19
0,0.011,0.02,0.012,0.02,0.25,19
0,0.011,0.02,0.012,0.02,0.3,19
0,0.011,0.02,0.012,0.02,0.35,19
0,0.011,0.02,0.012,0.02,0.4,19
0,0.011,0.02,0.012,0.02,0.45,19
