id_model,id_fB_papillary,id_fb_upper_blood,id_fb_reticular,id_fb_deep_blood,id_mel,id_light
0,0.011,0.02,0.0075,0.01,0.01,19
0,0.011,0.02,0.0075,0.01,0.1,19
0,0.011,0.02,0.0075,0.01,0.25,19
0,0.025,0.5,0.014,0.5,0.01,19
0,0.025,0.5,0.014,0.5,0.1,19
0,0.025,0.5,0.014,0.5,0.25,19
0,0.015,0.1,0.01,0.1,0.01,19
0,0.015,0.1,0.01,0.1,0.1,19
0,0.015,0.1,0.01,0.1,0.25,19
1,0.011,0.02,0.0075,0.01,0.01,19
1,0.011,0.02,0.0075,0.01,0.1,19
1,0.011,0.02,0.0075,0.01,0.25,19
1,0.025,0.5,0.014,0.5,0.01,19
1,0.025,0.5,0.014,0.5,0.1,19
1,0.025,0.5,0.014,0.5,0.25,19
1,0.015,0.1,0.01,0.1,0.01,19
1,0.015,0.1,0.01,0.1,0.1,19
1,0.015,0.1,0.01,0.1,0.25,19
2,0.011,0.02,0.0075,0.01,0.01,19
2,0.011,0.02,0.0075,0.01,0.1,19
2,0.011,0.02,0.0075,0.01,0.25,19
2,0.025,0.5,0.014,0.5,0.01,19
2,0.025,0.5,0.014,0.5,0.1,19
2,0.025,0.5,0.014,0.5,0.25,19
2,0.015,0.1,0.01,0.1,0.01,19
2,0.015,0.1,0.01,0.1,0.1,19
2,0.015,0.1,0.01,0.1,0.25,19
